[2025-08-15 13:00:31,464] INFO - === NNStreamer 系統啟動 ===
[2025-08-15 13:00:31,464] INFO - TFLite 模型: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,464] INFO - 輸入來源: 0
[2025-08-15 13:00:31,464] INFO - 最大工作者數: 4
[2025-08-15 13:00:31,464] INFO - 預載入 TFLite 解釋器...
[2025-08-15 13:00:31,514] INFO - TFLite 模型載入成功: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,515] INFO - 輸入張量形狀: [  1 640 640   3]
[2025-08-15 13:00:31,515] INFO - 輸出張量數量: 1
[2025-08-15 13:00:31,539] INFO - TFLite 模型載入成功: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,539] INFO - 輸入張量形狀: [  1 640 640   3]
[2025-08-15 13:00:31,539] INFO - 輸出張量數量: 1
[2025-08-15 13:00:31,581] INFO - TFLite 模型載入成功: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,581] INFO - 輸入張量形狀: [  1 640 640   3]
[2025-08-15 13:00:31,581] INFO - 輸出張量數量: 1
[2025-08-15 13:00:31,617] INFO - TFLite 模型載入成功: ./models/yolov8n_float32.tflite
[2025-08-15 13:00:31,617] INFO - 輸入張量形狀: [  1 640 640   3]
[2025-08-15 13:00:31,617] INFO - 輸出張量數量: 1
[2025-08-15 13:00:31,617] INFO - 成功預載入 4 個解釋器
[2025-08-15 13:00:31,617] INFO - === 啟動 NNStreamer 串流處理 ===
[2025-08-15 13:00:31,622] INFO - 啟動影像擷取器: 0
[2025-08-15 13:00:37,598] INFO - 啟動推論管理器
[2025-08-15 13:00:37,598] INFO - 啟動結果處理器
[2025-08-15 13:00:37,893] INFO - 統計 - FPS: 0.0, 推論時間: 212.2ms, CPU: 25.0%, 記憶體: 35.7%
[2025-08-15 13:00:38,637] WARNING - 幀隊列已滿，跳過幀
[2025-08-15 13:00:39,015] INFO - 統計 - FPS: 0.0, 推論時間: 164.1ms, CPU: 27.3%, 記憶體: 35.6%
[2025-08-15 13:00:40,185] INFO - 統計 - FPS: 0.0, 推論時間: 157.9ms, CPU: 28.6%, 記憶體: 35.6%
[2025-08-15 13:00:41,351] INFO - 統計 - FPS: 0.0, 推論時間: 155.9ms, CPU: 40.9%, 記憶體: 35.6%
[2025-08-15 13:00:42,484] INFO - 統計 - FPS: 0.0, 推論時間: 151.6ms, CPU: 23.7%, 記憶體: 35.6%
[2025-08-15 13:00:43,651] INFO - 統計 - FPS: 0.0, 推論時間: 152.4ms, CPU: 51.4%, 記憶體: 35.6%
[2025-08-15 13:00:44,817] INFO - 統計 - FPS: 0.0, 推論時間: 152.0ms, CPU: 34.9%, 記憶體: 35.6%
[2025-08-15 13:00:45,999] INFO - 統計 - FPS: 0.0, 推論時間: 151.6ms, CPU: 25.0%, 記憶體: 35.6%
[2025-08-15 13:00:47,133] INFO - 統計 - FPS: 0.0, 推論時間: 150.9ms, CPU: 46.2%, 記憶體: 35.5%
[2025-08-15 13:00:48,315] INFO - 統計 - FPS: 0.0, 推論時間: 151.3ms, CPU: 24.2%, 記憶體: 35.5%
[2025-08-15 13:00:49,465] INFO - 統計 - FPS: 0.0, 推論時間: 151.0ms, CPU: 25.0%, 記憶體: 35.5%
[2025-08-15 13:00:50,630] INFO - 統計 - FPS: 0.0, 推論時間: 151.4ms, CPU: 33.3%, 記憶體: 35.5%
[2025-08-15 13:00:51,798] INFO - 統計 - FPS: 0.0, 推論時間: 150.6ms, CPU: 32.6%, 記憶體: 35.5%
